geography,subsector
28025,mining
28027,construction
28027,mining
28029,construction
28029,mining
28031,construction
28031,mining
28033,mining
28035,construction
28035,mining
28037,construction
28037,mining
28039,mining
28041,construction
28041,mining
28043,mining
28045,mining
28047,mining
28049,mining
28051,construction
28051,mining
28053,construction
28053,mining
28055,construction
28055,mining
28057,mining
28059,mining
28061,construction
28061,mining
28063,construction
28063,mining
28065,construction
28065,mining
28067,mining
28069,construction
28071,mining
28073,mining
28075,construction
28075,mining
28077,construction
28077,mining
28079,construction
28079,mining
28081,mining
28083,construction
28083,mining
28085,construction
28085,mining
28087,mining
28089,mining
28091,construction
28091,mining
28093,mining
28095,construction
28095,mining
28097,construction
28097,mining
28099,construction
28099,mining
28101,construction
28101,mining
28103,construction
28103,mining
28105,mining
28107,construction
28107,mining
28109,construction
28109,mining
28111,construction
28111,mining
28113,construction
28113,mining
28115,mining
28117,construction
28117,mining
28119,construction
28119,mining
28121,mining
28123,construction
28123,mining
28125,construction
28125,mining
28127,construction
28127,mining
28129,construction
28129,mining
28131,construction
28131,mining
28133,mining
28135,construction
28135,mining
28137,construction
28137,mining
28139,construction
28141,construction
28141,mining
28143,construction
28143,mining
28145,construction
28147,construction
28147,mining
28149,construction
28149,mining
28151,mining
28153,mining
28155,construction
28155,mining
28157,construction
28157,mining
28159,construction
28159,mining
28161,construction
28161,mining
28163,mining
29001,construction
29001,mining
29003,construction
29003,mining
29005,construction
29005,mining
29007,construction
29007,mining
29009,construction
29009,mining
29011,construction
29011,mining
29013,construction
29013,mining
29015,construction
29015,mining
29017,construction
29017,mining
29019,mining
29023,mining
29025,construction
29025,mining
29027,construction
29027,mining
29029,mining
29031,construction
29031,mining
29033,construction
29033,mining
29035,construction
29035,mining
29037,mining
29039,construction
29039,mining
29041,construction
29041,mining
29043,mining
29045,construction
29045,mining
29047,mining
29049,construction
29049,mining
29051,mining
29053,construction
29053,mining
29055,construction
29055,mining
29057,construction
29057,mining
29059,construction
29059,mining
29061,construction
29061,mining
29063,construction
29063,mining
29065,construction
29065,mining
29067,construction
29067,mining
29069,construction
29069,mining
29071,mining
29073,construction
29073,mining
29075,construction
29075,mining
29077,mining
29079,construction
29079,mining
29081,construction
29081,mining
29083,construction
29083,mining
29085,construction
29085,mining
29087,construction
29087,mining
29089,construction
29089,mining
29091,construction
29091,mining
29093,construction
29093,mining
29095,mining
29097,mining
29099,mining
29101,mining
29103,construction
29103,mining
29105,construction
29105,mining
29107,construction
29107,mining
29109,construction
29109,mining
29111,construction
29111,mining
29113,mining
29115,construction
29115,mining
29117,construction
29117,mining
29119,construction
29119,mining
29121,construction
29121,mining
29123,construction
29123,mining
29125,construction
29125,mining
29127,construction
29127,mining
29129,construction
29129,mining
29131,construction
29131,mining
29133,construction
29133,mining
29135,construction
29135,mining
29137,construction
29137,mining
29139,construction
29139,mining
29141,construction
29141,mining
29143,construction
29143,mining
29145,mining
29147,construction
29147,mining
29149,construction
29149,mining
29151,construction
29151,mining
29153,mining
29155,construction
29155,mining
29157,construction
29157,mining
29159,mining
29161,mining
29163,construction
29163,mining
29165,mining
29167,mining
29169,construction
29169,mining
29171,construction
29171,mining
29173,construction
29173,mining
29175,construction
29175,mining
29177,construction
29177,mining
29179,construction
29179,mining
29181,construction
29181,mining
29183,mining
29185,construction
29185,mining
29186,construction
29186,mining
29187,construction
29187,mining
29189,mining
29195,construction
29195,mining
29197,construction
29197,mining
29199,construction
29199,mining
29201,construction
29201,mining
29203,construction
29203,mining
29205,construction
29205,mining
29207,construction
29207,mining
29209,construction
29209,mining
29211,construction
29211,mining
29213,mining
29215,construction
29215,mining
29217,construction
29217,mining
29219,mining
29221,construction
29221,mining
29223,construction
29223,mining
29225,construction
29225,mining
29227,construction
29227,mining
29229,mining
29510,mining
29510,water_treatment
30001,construction
30001,mining
30003,construction
30003,mining
30005,construction
30005,mining
30007,construction
30007,mining
30009,construction
30009,mining
30011,construction
30011,mining
30013,mining
30015,construction
30015,mining
30017,construction
30017,mining
30019,construction
30019,mining
30021,construction
30021,mining
30023,construction
30023,mining
30025,construction
30025,mining
30027,construction
30027,mining
30029,mining
30031,mining
30033,construction
30033,mining
30035,construction
30035,mining
30037,construction
30037,mining
30039,construction
30039,mining
30041,construction
30041,mining
30043,construction
30043,mining
30045,construction
